"","animal_id","location","date","jul_day","jul_time","animal_temp","itemp","bur_temp","daylight"
"20813","QB 13-7","QB-3",2014-02-02,763,763.853647762346,31.1864474274851,27.2048824841922,35.1991748111127,0
"20814","QB 13-7","QB-3",2014-02-02,763,763.860591475096,30.8518075742429,26.9128421484251,35.0832137131879,0
"20815","QB 13-7","QB-3",2014-02-02,763,763.87065892401,29.6547597867811,26.6160552819188,34.9092319358899,0
"20816","QB 13-7","QB-3",2014-02-02,763,763.877615740741,29.2331919687162,26.4260722089052,34.7876339752967,0
"20817","QB 13-7","QB-3",2014-02-02,763,763.54114828844,35.6395810926293,43.9749314717579,29.8149566887102,1
"20818","QB 13-7","QB-3",2014-02-03,764,764.231752777778,18.1473342477321,13.6421529349284,28.6150868644669,0
"20819","QB 13-7","QB-3",2014-02-03,764,764.238700925926,17.407202877837,13.185208597068,28.503195829967,0
"20820","QB 13-7","QB-3",2014-02-03,764,764.252601851852,17.0212871899523,12.3623813328132,28.2971667736266,0
"20821","QB 13-7","QB-3",2014-02-03,764,764.259547646605,16.9748955396236,12.0626554821121,28.2059545158057,0
"20822","QB 13-7","QB-3",2014-02-03,764,764.266487268519,17.0715448111416,11.908399329712,28.1210032377326,0
"20823","QB 13-7","QB-3",2014-02-03,764,764.245652006173,17.3292762018564,12.7497765143823,28.3964439063703,0
"20824","QB 13-7","QB-3",2014-02-03,764,764.280373263889,18.1177466691204,12.2725797468235,27.9616069691014,1
"20825","QB 13-7","QB-3",2014-02-03,764,764.287310185185,18.3100659300964,12.9089737314692,27.8832942001199,1
"20826","QB 13-7","QB-3",2014-02-03,764,764.2942625,19.2111719117594,13.9281616884207,27.8030559440579,1
"20827","QB 13-7","QB-3",2014-02-03,764,764.30120787037,19.9138606069096,15.3123618360555,27.7203821857237,1
"20828","QB 13-7","QB-3",2014-02-03,764,764.308144586895,20.5963378065362,16.9434461623522,27.6362086635082,1
"20829","QB 13-7","QB-3",2014-02-03,764,764.315087037037,21.127635626071,18.7005390911162,27.5513928646549,1
"20830","QB 13-7","QB-3",2014-02-03,764,764.322038425926,21.9032495076603,20.4604185229142,27.4669275928195,1
"20831","QB 13-7","QB-3",2014-02-03,764,764.328975249288,22.5289186060538,22.0930149134428,27.3841290855675,1
"20832","QB 13-7","QB-3",2014-02-03,764,764.33593082265,22.8698861138766,23.483119021165,27.3036487004935,1
"20833","QB 13-7","QB-3",2014-02-03,764,764.34287079904,23.4777817196742,24.5753271891136,27.2275093075536,1
"20834","QB 13-7","QB-3",2014-02-03,764,764.349807956104,24.0272550529829,25.4278175012458,27.1579801327852,1
"20835","QB 13-7","QB-3",2014-02-03,764,764.356747256516,28.1350716318448,26.1038717743233,27.0974949671282,1
"20836","QB 13-7","QB-3",2014-02-03,764,764.273432195216,17.7106681628856,11.9586238247111,28.0401810374813,1
"20837","QB 13-7","QB-3",2014-02-03,764,764.37759837963,35.1714862393893,27.7002073356319,26.9952086600194,1
"20838","QB 13-7","QB-3",2014-02-03,764,764.384536740266,41.4334634952699,28.2689025413521,26.9941486765309,1
"20839","QB 13-7","QB-3",2014-02-03,764,764.391495701058,39.6596350095871,28.8876122586521,27.0088578753473,1
"20840","QB 13-7","QB-3",2014-02-03,764,764.398427951389,41.4129435769804,29.5501845540555,27.0374829884169,1
"20841","QB 13-7","QB-3",2014-02-03,764,764.405368180681,40.1067144938258,30.2578658042426,27.0783783195515,1
"20842","QB 13-7","QB-3",2014-02-03,764,764.412311278292,38.8102127104056,31.0083562537121,27.1298093819381,1
"20843","QB 13-7","QB-3",2014-02-03,764,764.41925621345,40.6043330612088,31.799481686818,27.190057522991,1
"20844","QB 13-7","QB-3",2014-02-03,764,764.426199744152,40.6667677219399,32.618623372579,27.2579915209123,1
"20845","QB 13-7","QB-3",2014-02-03,764,764.433137825325,40.1061036991067,33.4388900465547,27.3333188798931,1
"20846","QB 13-7","QB-3",2014-02-03,764,764.440083994709,38.3473358067858,34.2344216242488,27.4160130056371,1
"20847","QB 13-7","QB-3",2014-02-03,764,764.447030698854,42.4689030910138,34.9768201991555,27.5058195562262,1
"20848","QB 13-7","QB-3",2014-02-03,764,764.453697916667,40.279535187679,35.6138075196508,27.5985309372889,1
"20849","QB 13-7","QB-3",2014-02-03,764,764.370324074074,40.7297068613747,27.1544020852349,27.0148567151392,1
"20850","QB 13-7","QB-3",2014-02-03,764,764.467865980204,31.5966875052323,36.6337262467235,27.817149482938,1
"20851","QB 13-7","QB-3",2014-02-03,764,764.474811728395,31.2293566917441,36.988856628652,27.9382936734741,1
"20852","QB 13-7","QB-3",2014-02-03,764,764.481748070988,31.2848339266922,37.2857144703105,28.0716931235507,1
"20853","QB 13-7","QB-3",2014-02-03,764,764.488692927842,31.4142808082378,37.5534922553589,28.2201352411901,1
"20854","QB 13-7","QB-3",2014-02-03,764,764.495639274691,31.6206775918223,37.8202973175216,28.3859495720036,1
"20855","QB 13-7","QB-3",2014-02-03,764,764.502583333333,31.9481775035454,38.1141568144039,28.5714266924733,1
"20856","QB 13-7","QB-3",2014-02-03,764,764.509534722222,32.3132152888576,38.4512691068729,28.7762837290267,1
"20857","QB 13-7","QB-3",2014-02-03,764,764.516468413978,32.640256469759,38.8286784553722,28.9950751798263,1
"20858","QB 13-7","QB-3",2014-02-03,764,764.523415471923,32.9695528776769,39.2450937727656,29.2237880322416,1
"20859","QB 13-7","QB-3",2014-02-03,764,764.530361409797,33.2900041208183,39.6968032914286,29.4569885422395,1
"20860","QB 13-7","QB-3",2014-02-03,764,764.537306974313,33.6018582946539,40.1808982796007,29.6897163353555,1
"20861","QB 13-7","QB-3",2014-02-03,764,764.544243951613,34.0012828790641,40.6936877653074,29.9167978756255,1
"20862","QB 13-7","QB-3",2014-02-03,764,764.551195863202,34.3454376910682,41.2284476210863,30.1374798554639,1
"20863","QB 13-7","QB-3",2014-02-03,764,764.558136947431,34.66489964058,41.7671259536561,30.3541714130509,1
"20864","QB 13-7","QB-3",2014-02-03,764,764.565080295139,34.998046429975,42.2940747813381,30.5708747360394,1
"20865","QB 13-7","QB-3",2014-02-03,764,764.572020399306,35.1819563599712,42.7922419374133,30.7910007625667,1
"20866","QB 13-7","QB-3",2014-02-03,764,764.578971354167,35.4392243131518,43.2459123925869,31.0185944001918,1
"20867","QB 13-7","QB-3",2014-02-03,764,764.585914351852,35.6897379454451,43.6374290799089,31.2565616489707,1
"20868","QB 13-7","QB-3",2014-02-03,764,764.592850115741,35.5949387996859,43.962788432313,31.5051134465265,1
"20869","QB 13-7","QB-3",2014-02-03,764,764.599799623843,35.7092227273361,44.2356469843425,31.7606190472738,1
"20870","QB 13-7","QB-3",2014-02-03,764,764.606736937831,42.4475858130878,44.4689762009004,32.0173937616217,1
"20871","QB 13-7","QB-3",2014-02-03,764,764.613693639291,43.2732109923858,44.6778457316067,32.2718555457641,1
"20872","QB 13-7","QB-3",2014-02-03,764,764.620653153153,43.5886773702962,44.8757408020835,32.5186181321492,1
"20873","QB 13-7","QB-3",2014-02-03,764,764.627583912037,42.8972338423049,45.0754997855206,32.7519238449632,1
"20874","QB 13-7","QB-3",2014-02-03,764,764.634524410774,42.9149294010997,45.2762152355908,32.9709056988546,1
"20875","QB 13-7","QB-3",2014-02-03,764,764.641467215762,42.4929211290782,45.4537611440744,33.1765214096364,1
"20876","QB 13-7","QB-3",2014-02-03,764,764.648413544358,42.5765692075042,45.5825605912833,33.3702782889904,1
"20877","QB 13-7","QB-3",2014-02-03,764,764.662300925926,43.0886868427762,45.5913176982482,33.7277202355599,1
"20878","QB 13-7","QB-3",2014-02-03,764,764.669162808642,43.6086671888399,45.4237115324207,33.892508712341,1
"20879","QB 13-7","QB-3",2014-02-03,764,764.676186594203,43.2805044101356,45.1350513134141,34.0539874937156,1
"20880","QB 13-7","QB-3",2014-02-03,764,764.683130787037,42.1034847386138,44.7904017396812,34.2053742449422,1
"20881","QB 13-7","QB-3",2014-02-03,764,764.690063212251,42.1271220507006,44.4480939180495,34.3470986328222,1
"20882","QB 13-7","QB-3",2014-02-03,764,764.697018417874,43.4825902842696,44.1670045686914,34.4786319591019,1
